Var1,RPE,ResponseTime,ClickTime,RestDuration
HPK_10kph.mp4,9,2.65256109999609,1.25101629999699,8.09642260000692
HPK_12kph.mp4,13,0.835191399994073,1.01749420000124,10.1473144000047
HPK_14kph.mp4,16,1.8160082000104,2.38547470000049,7.79851709998911
HPK_8kph.mp4,10,2.14747899999202,1.2345362000051,8.61798480000289
KW_10kph.mp4,17,3.90837720000127,1.38442729999952,6.70719549999922
KW_12kph.mp4,14,1.19962860000669,4.00371859999723,6.79665279999608
KW_14kph.mp4,12,1.41622529999586,1.06756359999417,9.51621110000997
KW_8kph.mp4,13,4.01588779999292,4.00288189999992,3.98123030000716
LEOINE_10kph.mp4,13,4.01172719999158,4.00339650000387,3.98487630000454
LEOINE_12kph.mp4,13,4.01474179999786,4.00316560000647,3.98209259999567
LEOINE_14kph.mp4,13,4.01142470000195,4.00350900000194,3.98506629999611
LEOINE_8kph.mp4,13,4.00658650000696,4.00279060000321,3.99062289998983
