Var1,ef,movieStartTimes,RPE,ResponseTime,ClickTime,RestDuration
HPK_8kph.mp4,1,0.105362699992838,9,3.05761400000483,3.92741439999372,13.0149716000014
LEOINE_10kph.mp4,2,34.3755534999946,0,6.00024749999284,5.40907239999797,8.59068010000919
HPK_12kph.mp4,3,68.6462675999937,15,4.5386395999958,3.2402235000045,12.2211368999997
KW_12kph.mp4,3,102.916413400002,0,6.00026439999056,4.48201700000209,9.51771860000736
KW_10kph.mp4,2,137.185294399998,10,3.52834679999796,3.20779929999844,13.2638539000036
LEOINE_14kph.mp4,4,171.458230999997,17,3.20871170000464,2.4882734999992,14.3030147999962
LEOINE_12kph.mp4,3,205.72510499999,17,3.10920809999516,2.69632410000486,14.1944678
LEOINE_8kph.mp4,1,239.999790100002,9,3.29229969999869,2.29599220000091,14.4117081000004
HPK_10kph.mp4,2,274.265660399993,16,3.72651740000583,3.07208019999962,13.2014023999945
KW_14kph.mp4,4,308.538144499995,0,6.00091660000908,2.99914060000447,10.9999427999865
KW_8kph.mp4,1,342.806108599994,9,4.89755379999406,3.34373640001286,11.7587097999931
HPK_14kph.mp4,4,377.075609299995,0,6.00012219999917,6.00094579999859,7.99893200000224
