Var1,ef,movieStartTimes,RPE,ResponseTime,ClickTime,RestDuration
KW_12kph.mp4,3,0.94262320001144,0,6.00045210000826,5.79698869999265,8.20255919999909
HPK_14kph.mp4,4,35.2256479000207,17,4.06583730003331,5.8874375000014,10.0467251999653
LEOINE_14kph.mp4,4,69.5085066000465,17,2.54609939997317,4.39249510003719,13.0614054999896
KW_14kph.mp4,4,103.78685460001,20,4.23769520001952,5.9992052000016,9.76309959997889
KW_8kph.mp4,1,138.075276800024,6,4.91632329998538,4.39134659996489,10.6923301000497
KW_10kph.mp4,2,172.360523300013,10,4.65295239997795,6.00042650004616,9.34662109997589
HPK_10kph.mp4,2,206.566400000011,7,4.01069209998241,4.92873599997256,11.060571900045
HPK_12kph.mp4,3,240.839205900033,15,3.09609209996415,1.39185310003813,15.5120547999977
HPK_8kph.mp4,1,275.124437400023,0,6.00084759999299,0.599860200018156,13.3992921999888
LEOINE_10kph.mp4,2,309.408889400016,7,4.01468740002019,2.56829309999011,13.4170194999897
LEOINE_12kph.mp4,3,343.690335499996,13,1.13875839998946,1.29521339997882,17.5660282000317
LEOINE_8kph.mp4,1,377.974711799994,11,2.72859970002901,4.53607069997815,12.7353295999928
