Var1,ef,movieStartTimes,RPE,ResponseTime,ClickTime,RestDuration
KW_12kph.mp4,3,2.00563120000879,0,6.00123189999431,6.0008300000045,7.99793810000119
HPK_14kph.mp4,4,36.2827642000047,0,6.00075419999484,6.00111270000343,7.99813310000172
LEOINE_14kph.mp4,4,70.4876489000017,0,6.0009912999958,3.50635310000507,10.4926555999991
KW_14kph.mp4,4,104.757520600004,0,6.00110779999522,6.00106460000097,7.9978276000038
KW_8kph.mp4,1,139.021728599997,0,6.00071129998832,6.0007820000028,7.99850670000887
KW_10kph.mp4,2,173.279141600011,0,6.00058439999702,6.00107640000351,7.99833919999946
HPK_10kph.mp4,2,207.533271200009,0,6.00099970000156,6.00143519999983,7.99756509999861
HPK_12kph.mp4,3,241.797556200007,0,6.00074180000229,6.00092949999089,7.99832870000682
HPK_8kph.mp4,1,276.063293500003,0,6.00055539999448,6.00084209999477,7.99860250001075
LEOINE_10kph.mp4,2,310.330672600001,0,6.00010150000162,6.00087730000087,7.99902119999751
LEOINE_12kph.mp4,3,344.601871400009,0,6.00089999999909,6.00098620000063,7.99811380000028
LEOINE_8kph.mp4,1,378.862908900002,0,6.00001849999535,6.00077729999612,7.99920420000853
