Var1,RPE,ResponseTime,ClickTime,RestDuration
KW_12kph.mp4,16,2.55926950000867,1.75156569998944,7.68916480000189
HPK_14kph.mp4,15,1.54267429999891,1.23433769999247,9.22298800000863
KW_14kph.mp4,17,3.54059849999612,1.58471860000282,6.87468290000106
HPK_10kph.mp4,12,1.66332249999687,1.43454490001022,8.90213259999291
KW_10kph.mp4,12,1.82166990000405,1.58459440000297,8.59373569999298
LEOINE_12kph.mp4,14,1.43291289999615,2.88573540000652,7.68135169999732
LEOINE_10kph.mp4,11,2.24421050000819,2.25187330000335,7.50391619998845
LEOINE_8kph.mp4,0,4.01032039998972,4.00252110000292,3.98715850000735
KW_8kph.mp4,0,4.00056689999474,4.00318339999649,3.99624970000878
HPK_12kph.mp4,0,4.00897389999591,3.1690285000077,4.82199759999639
LEOINE_14kph.mp4,0,4.01519069999631,4.0033192000119,3.98149009999179
HPK_8kph.mp4,14,2.19501480000326,1.75148439999612,8.05350080000062
