Var1,movieStartTimes,RPE,ResponseTime,ClickTime,RestDuration
HPK_12kph.mp4,0.168456700000206,12,3.01423410000007,0.984110699999746,14.0016552000002
KW_12kph.mp4,22.3542185000001,15,2.19830020000018,1.15101640000012,14.6506833999997
LEOINE_8kph.mp4,44.5377469999999,11,2.11851900000011,1.21799360000023,14.6634873999997
KW_8kph.mp4,66.7197359000002,9,3.29084049999983,1.16763930000025,13.5415201999999
KW_14kph.mp4,88.8989661999999,0,4.01140380000015,4.00293809999994,9.98565809999991
LEOINE_12kph.mp4,111.0839555,12,2.06265660000008,1.01784510000016,14.9194982999998
HPK_14kph.mp4,133.2654878,12,2.2446332999998,0.950687500000186,14.8046792
LEOINE_10kph.mp4,155.4498238,13,0.740471399999933,1.08423429999993,16.1752943000001
HPK_8kph.mp4,177.6384251,11,1.47291140000016,0.984148399999867,15.5429402
KW_10kph.mp4,199.8274537,15,1.15333030000011,0.783993699999883,16.062676
LEOINE_14kph.mp4,222.0120351,17,2.00612480000018,1.03418259999989,14.9596925999999
HPK_10kph.mp4,244.2024571,15,1.56884050000008,1.35097480000013,15.0801846999998
