Var1,RPE_1,RPE_2,RPE_3,RPE_4,RPE_5,RPE_6,RPE_7,RPE_8,RPE_9,RPE_10,RPE_11,RPE_12,ResponseTime_1,ResponseTime_2,ResponseTime_3,ResponseTime_4,ResponseTime_5,ResponseTime_6,ResponseTime_7,ResponseTime_8,ResponseTime_9,ResponseTime_10,ResponseTime_11,ResponseTime_12,ClickTime_1,ClickTime_2,ClickTime_3,ClickTime_4,ClickTime_5,ClickTime_6,ClickTime_7,ClickTime_8,ClickTime_9,ClickTime_10,ClickTime_11,ClickTime_12,RestDuration_1,RestDuration_2,RestDuration_3,RestDuration_4,RestDuration_5,RestDuration_6,RestDuration_7,RestDuration_8,RestDuration_9,RestDuration_10,RestDuration_11,RestDuration_12
HPK_10kph.mp4,14,0,0,0,0,0,0,0,0,0,0,0,1.50774489999458,0,0,0,0,0,0,0,0,0,0,0,1.75144209999416,0,0,0,0,0,0,0,0,0,0,0,8.74081300001126,0,0,0,0,0,0,0,0,0,0,0
HPK_12kph.mp4,12,0,0,0,0,0,0,0,0,0,0,0,2.42111440000008,0,0,0,0,0,0,0,0,0,0,0,2.25186210000538,0,0,0,0,0,0,0,0,0,0,0,7.32702349999454,0,0,0,0,0,0,0,0,0,0,0
HPK_14kph.mp4,13,0,0,0,0,0,0,0,0,0,0,0,4.0012740999955,0,0,0,0,0,0,0,0,0,0,0,4.00299940000696,0,0,0,0,0,0,0,0,0,0,0,3.99572649999755,0,0,0,0,0,0,0,0,0,0,0
HPK_8kph.mp4,15,0,0,0,0,0,0,0,0,0,0,0,3.62819000000309,0,0,0,0,0,0,0,0,0,0,0,3.46959870000137,0,0,0,0,0,0,0,0,0,0,0,4.90221129999554,0,0,0,0,0,0,0,0,0,0,0
KW_10kph.mp4,13,0,0,0,0,0,0,0,0,0,0,0,4.01541109998652,0,0,0,0,0,0,0,0,0,0,0,4.00333040000987,0,0,0,0,0,0,0,0,0,0,0,3.98125850000361,0,0,0,0,0,0,0,0,0,0,0
KW_12kph.mp4,10,0,0,0,0,0,0,0,0,0,0,0,3.37715809998917,0,0,0,0,0,0,0,0,0,0,0,1.36807510000654,0,0,0,0,0,0,0,0,0,0,0,7.25476680000429,0,0,0,0,0,0,0,0,0,0,0
KW_14kph.mp4,9,0,0,0,0,0,0,0,0,0,0,0,2.83739279999281,0,0,0,0,0,0,0,0,0,0,0,2.16839470001287,0,0,0,0,0,0,0,0,0,0,0,6.99421249999432,0,0,0,0,0,0,0,0,0,0,0
KW_8kph.mp4,17,0,0,0,0,0,0,0,0,0,0,0,3.09026529999392,0,0,0,0,0,0,0,0,0,0,0,1.81819580000592,0,0,0,0,0,0,0,0,0,0,0,7.09153890000016,0,0,0,0,0,0,0,0,0,0,0
LEOINE_10kph.mp4,13,0,0,0,0,0,0,0,0,0,0,0,4.01025339998887,0,0,0,0,0,0,0,0,0,0,0,4.00327090000792,0,0,0,0,0,0,0,0,0,0,0,3.98647570000321,0,0,0,0,0,0,0,0,0,0,0
LEOINE_12kph.mp4,13,0,0,0,0,0,0,0,0,0,0,0,4.01136509999924,0,0,0,0,0,0,0,0,0,0,0,4.00333170000522,0,0,0,0,0,0,0,0,0,0,0,3.98530319999554,0,0,0,0,0,0,0,0,0,0,0
LEOINE_14kph.mp4,15,0,0,0,0,0,0,0,0,0,0,0,2.09863689998747,0,0,0,0,0,0,0,0,0,0,0,1.96832900001027,0,0,0,0,0,0,0,0,0,0,0,7.93303410000226,0,0,0,0,0,0,0,0,0,0,0
LEOINE_8kph.mp4,10,0,0,0,0,0,0,0,0,0,0,0,2.36302099999739,0,0,0,0,0,0,0,0,0,0,0,1.30108330000076,0,0,0,0,0,0,0,0,0,0,0,8.33589570000186,0,0,0,0,0,0,0,0,0,0,0
