Var1,RPE,ResponseTime,ClickTime,RestDuration
LEOINE_12kph.mp4,0,4.00164839999997,2.73537750000003,5.26297410000001
HPK_8kph.mp4,17,3.33397229999997,1.60151810000002,7.06450960000001
KW_10kph.mp4,0,4.0063849,4.00374190000002,3.98987319999998
HPK_12kph.mp4,0,4.01456610000002,1.31778579999997,6.66764810000001
LEOINE_10kph.mp4,17,3.2124298,1.26765609999995,7.51991410000005
KW_14kph.mp4,12,3.60673600000001,2.53546569999997,5.85779830000001
HPK_14kph.mp4,13,0.468781700000022,1.30119179999997,10.2300265
LEOINE_14kph.mp4,17,2.57446669999996,2.96893500000004,6.4565983
KW_12kph.mp4,11,1.70174890000004,1.66797049999997,8.63028059999999
LEOINE_8kph.mp4,0,4.01157289999998,2.11815030000002,5.8702768
HPK_10kph.mp4,9,2.40594980000003,1.83482959999998,7.75922059999999
KW_8kph.mp4,9,3.26739789999999,1.41772900000001,7.3148731
